period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
6/1/2012,0.014218009,3,211,0,0,156,0.054545455,3,55
9/1/2012,0.013888889,3,216,0,0,160,0.053571429,3,56
12/1/2012,0.013333333,3,225,0,0,165,0.05,3,60
3/1/2013,0.013100437,3,229,0,0,165,0.046875,3,64
6/1/2013,0.012552301,3,239,0,0,168,0.042253521,3,71
9/1/2013,0.008368201,2,239,0,0,170,0.028985507,2,69
12/1/2013,0.012244898,3,245,0,0,171,0.040540541,3,74
3/1/2014,0.008403361,2,238,0,0,167,0.028169014,2,71
6/1/2014,0.028806584,7,243,0,0,171,0.097222222,7,72
9/1/2014,0.054054054,14,259,0.005714286,1,175,0.154761905,13,84
12/1/2014,0.076628352,20,261,0.011235955,2,178,0.21686747,18,83
3/1/2015,0.120300752,32,266,0.039325843,7,178,0.284090909,25,88
6/1/2015,0.163498099,43,263,0.06741573,12,178,0.364705882,31,85
9/1/2015,0.188461538,49,260,0.063218391,11,174,441860465,38,86
12/1/2015,0.184,46,250,0.02484472,4,161,0.471910112,42,89
3/1/2016,0.155737705,38,244,0,0,157,0.436781609,38,87
